ts,temperature,description
2017-11-01 00:00:00,276.15,broken clouds
2017-11-01 01:00:00,275.7,scattered clouds
2017-11-01 02:00:00,275.61,overcast clouds
2017-11-01 03:00:00,275.35,broken clouds
2017-11-01 04:00:00,275.24,broken clouds
2017-11-01 05:00:00,275.05,overcast clouds
2017-11-01 06:00:00,275.14,overcast clouds
2017-11-01 07:00:00,275.23,overcast clouds
2017-11-01 08:00:00,275.23,overcast clouds
2017-11-01 09:00:00,275.32,overcast clouds
2017-11-01 10:00:00,275.23,overcast clouds
2017-11-01 11:00:00,275.51,overcast clouds
2017-11-01 12:00:00,275.69,overcast clouds
2017-11-01 13:00:00,275.79,overcast clouds
2017-11-01 14:00:00,275.85,broken clouds
2017-11-01 15:00:00,276.6,broken clouds
2017-11-01 16:00:00,277.54,sky is clear
2017-11-01 17:00:00,278.32,overcast clouds
2017-11-01 18:00:00,279.35,overcast clouds
2017-11-01 19:00:00,279.52,overcast clouds
2017-11-01 20:00:00,279.7,overcast clouds
2017-11-01 21:00:00,279.34,mist
2017-11-01 22:00:00,278.93,mist
2017-11-01 23:00:00,278.51,mist
2017-11-02 00:00:00,278.32,mist
2017-11-02 01:00:00,278.42,mist
2017-11-02 02:00:00,278.85,drizzle
2017-11-02 03:00:00,279.06,light rain
2017-11-02 04:00:00,279.55,light rain
2017-11-02 05:00:00,279.75,light rain
2017-11-02 06:00:00,280.35,light rain
2017-11-02 07:00:00,280.6,moderate rain
2017-11-02 08:00:00,280.84,fog
2017-11-02 09:00:00,281.13,fog
2017-11-02 10:00:00,281.34,fog
2017-11-02 11:00:00,281.54,fog
2017-11-02 12:00:00,281.44,light rain
2017-11-02 13:00:00,281.94,fog
2017-11-02 14:00:00,281.92,fog
2017-11-02 15:00:00,282.34,light intensity drizzle
2017-11-02 16:00:00,282.54,light intensity drizzle
2017-11-02 17:00:00,283.33,mist
2017-11-02 18:00:00,283.63,mist
2017-11-02 19:00:00,283.54,light intensity drizzle
2017-11-02 20:00:00,283.25,moderate rain
2017-11-02 21:00:00,282.94,light rain
2017-11-02 22:00:00,283.04,drizzle
2017-11-02 23:00:00,282.84,drizzle
2017-11-03 00:00:00,282.68,moderate rain
2017-11-03 01:00:00,282.41,mist
2017-11-03 02:00:00,282.03,mist
2017-11-03 03:00:00,282.04,mist
2017-11-03 04:00:00,282.04,mist
2017-11-03 05:00:00,281.65,mist
2017-11-03 06:00:00,281.14,mist
2017-11-03 07:00:00,280.96,mist
2017-11-03 08:00:00,280.59,mist
2017-11-03 09:00:00,279.96,mist
2017-11-03 10:00:00,278.85,mist
2017-11-03 11:00:00,278.22,overcast clouds
2017-11-03 12:00:00,277.68,overcast clouds
2017-11-03 13:00:00,277.32,overcast clouds
2017-11-03 14:00:00,277.68,mist
2017-11-03 15:00:00,278.32,overcast clouds
2017-11-03 16:00:00,279.12,overcast clouds
2017-11-03 17:00:00,279.71,overcast clouds
2017-11-03 18:00:00,280.86,overcast clouds
